TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1.0675,9.16,0.05,0.05,0.05,0.05,0.05,0.05,0.05
1.0685,9.16,0.1,0.1,0.1,0.1,0.1,0.1,0.1
1.0695,9.16,0.14,0.14,0.14,0.14,0.14,0.14,0.14
1.0705,9.16,0.19,0.19,0.19,0.19,0.19,0.19,0.19
1.0715,9.16,0.24,0.24,0.24,0.24,0.24,0.24,0.24
1.0725,9.16,0.29,0.29,0.29,0.29,0.29,0.29,0.29
1.0735,9.16,0.33,0.33,0.33,0.33,0.33,0.33,0.33
1.0745,9.16,0.38,0.38,0.38,0.38,0.38,0.38,0.38
1.0755,9.16,0.43,0.43,0.43,0.43,0.43,0.43,0.43
1.0765,9.16,0.48,0.48,0.48,0.48,0.48,0.48,0.48
1.0775,9.16,0.52,0.52,0.52,0.52,0.52,0.52,0.52
1.0785,9.16,0.57,0.57,0.57,0.57,0.57,0.57,0.57
1.0795,9.16,0.62,0.62,0.62,0.62,0.62,0.62,0.62
1.0805,9.16,0.67,0.67,0.67,0.67,0.67,0.67,0.67
1.0815,9.16,0.72,0.72,0.72,0.72,0.72,0.72,0.72
1.0825,9.16,0.76,0.76,0.76,0.76,0.76,0.76,0.76
1.0835,9.16,0.81,0.81,0.81,0.81,0.81,0.81,0.81
1.0845,9.16,0.86,0.86,0.86,0.86,0.86,0.86,0.86
1.0855,9.16,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1.0865,9.16,0.95,0.95,0.95,0.95,0.95,0.95,0.95
1.0875,9.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0885,9.16,1.05,1.05,1.05,1.05,1.05,1.05,1.05
1.0895,9.16,1.1,1.1,1.1,1.1,1.1,1.1,1.1
1.0905,9.16,1.14,1.14,1.14,1.14,1.14,1.14,1.14
1.0915,9.16,1.19,1.19,1.19,1.19,1.19,1.19,1.19
1.0925,9.16,1.24,1.24,1.24,1.24,1.24,1.24,1.24
